127.0.0.1 - - [08/Jun/2021:16:27:40 +0530] "GET /EggSupplier HTTP/1.1" 302 -
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14515
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/help.css HTTP/1.1" 200 1753
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 200 53276
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 200 24440
127.0.0.1 - - [08/Jun/2021:16:27:41 +0530] "GET /EggSupplier/Images/egg2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:16:28:11 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3487
127.0.0.1 - - [08/Jun/2021:16:28:36 +0530] "POST /EggSupplier/custlogin.jsp HTTP/1.1" 302 -
127.0.0.1 - - [08/Jun/2021:16:28:38 +0530] "GET /EggSupplier/custpage.jsp HTTP/1.1" 200 15082
127.0.0.1 - - [08/Jun/2021:16:28:38 +0530] "GET /EggSupplier/cust.css HTTP/1.1" 404 775
127.0.0.1 - - [08/Jun/2021:16:28:52 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3487
127.0.0.1 - - [08/Jun/2021:16:43:34 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3586
127.0.0.1 - - [08/Jun/2021:16:43:35 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:16:43:35 +0530] "GET /EggSupplier/Images/egg3.jpg HTTP/1.1" 304 -
