127.0.0.1 - - [02/Jul/2021:20:36:23 +0530] "GET /EggSupplier HTTP/1.1" 302 -
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14416
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/help.css HTTP/1.1" 200 1753
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 200 53276
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 200 24440
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/egg2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /EggSupplier/Images/hen19.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:36:25 +0530] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [02/Jul/2021:20:37:24 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14417
127.0.0.1 - - [02/Jul/2021:20:37:25 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:25 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:25 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:25 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:25 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14423
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:37:41 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:40:23 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14417
127.0.0.1 - - [02/Jul/2021:20:40:23 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:40:23 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:40:24 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:40:24 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:40:24 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14426
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:41:23 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14415
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:30 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14419
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:42:55 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:03 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14419
